city,airport,code,country
Toronto,Toronto Pearson Airport,YYZ,Canada
Calgary,Calgary International Airport,YYC,Canada
Kelowana,Kelowna International Airport,YLW,Canada
Ottawa,Ottawa International Airport,YOW,Canada
Edmonton,Edmonton International Airport,YEG,Canada
